pincode,state,district,blocks,state_lgd,district_lgd
110001,DELHI,NEW DELHI,"[""NEW DELHI""]",07,094
110002,DELHI,CENTRAL,"[""NEW DELHI""]",07,095
110003,DELHI,NEW DELHI,"[""NEW DELHI"",""DELHI""]",07,094
110003,DELHI,SOUTH EAST,"[""NEW DELHI"",""DELHI""]",07,677
110003,DELHI,SOUTH,"[""NEW DELHI"",""DELHI""]",07,098
110004,DELHI,NEW DELHI,"[""NEW DELHI""]",07,094
110005,DELHI,CENTRAL,"[""NEW DELHI""]",07,095
110006,DELHI,NORTH,"[""NA"",""DELHI""]",07,091
110007,DELHI,NORTH,"[""DELHI"",""NA""]",07,091
110007,DELHI,CENTRAL,"[""DELHI"",""NA""]",07,095
110007,DELHI,NORTH WEST,"[""DELHI"",""NA""]",07,090
110008,DELHI,WEST,"[""NEW DELHI""]",07,096
110009,DELHI,NORTH,"[""NA"",""DELHI""]",07,091
110009,DELHI,NORTH WEST,"[""NA"",""DELHI""]",07,090
110010,DELHI,NEW DELHI,"[""NA""]",07,094
110011,DELHI,NEW DELHI,"[""NEW DELHI""]",07,094
110012,DELHI,WEST,"[""NEW DELHI""]",07,096
110013,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110013,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110014,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110014,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110015,DELHI,WEST,"[""NEW DELHI""]",07,096
110016,DELHI,SOUTH,"[""NA""]",07,098
110017,DELHI,SOUTH,"[""NA"",""NEW DELHI""]",07,098
110018,DELHI,WEST,"[""NEW DELHI""]",07,096
110019,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110019,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110020,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110020,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110021,DELHI,NEW DELHI,"[""NA""]",07,094
110022,DELHI,NEW DELHI,"[""NA""]",07,094
110023,DELHI,NEW DELHI,"[""NA"",""DELHI""]",07,094
110024,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110024,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110025,DELHI,SOUTH EAST,"[""NA"",""NEW DELHI""]",07,677
110025,UTTAR PRADESH,BUDAUN,"[""NA"",""NEW DELHI""]",09,149
110025,DELHI,SOUTH,"[""NA"",""NEW DELHI""]",07,098
110026,DELHI,WEST,"[""NEW DELHI"",""NA""]",07,096
110027,DELHI,WEST,"[""NEW DELHI""]",07,096
110028,DELHI,NEW DELHI,"[""NEW DELHI""]",07,094
110029,DELHI,SOUTH,"[""NA"",""NEW DELHI""]",07,098
110030,DELHI,SOUTH,"[""NA""]",07,098
110031,DELHI,SHAHDARA,"[""NA""]",07,676
110031,DELHI,EAST,"[""NA""]",07,093
110032,DELHI,SHAHDARA,"[""NA""]",07,676
110033,DELHI,NORTH,"[""DELHI""]",07,091
110034,DELHI,NORTH WEST,"[""DELHI""]",07,090
110035,DELHI,NORTH WEST,"[""DELHI""]",07,090
110036,DELHI,NORTH,"[""DELHI"",""NA""]",07,091
110037,DELHI,NEW DELHI,"[""NA""]",07,094
110038,DELHI,NEW DELHI,"[""NA""]",07,094
110039,DELHI,NORTH,"[""DELHI""]",07,091
110039,DELHI,NORTH WEST,"[""DELHI""]",07,090
110040,DELHI,NORTH,"[""DELHI""]",07,091
110041,DELHI,WEST,"[""NEW DELHI""]",07,096
110042,DELHI,NORTH,"[""DELHI""]",07,091
110042,DELHI,NORTH WEST,"[""DELHI""]",07,090
110043,DELHI,WEST,"[""NEW DELHI""]",07,096
110044,DELHI,SOUTH,"[""NEW DELHI"",""NA""]",07,098
110044,DELHI,SOUTH EAST,"[""NEW DELHI"",""NA""]",07,677
110045,DELHI,SOUTH WEST,"[""NEW DELHI""]",07,097
110046,DELHI,NEW DELHI,"[""NEW DELHI""]",07,094
110047,DELHI,SOUTH,"[""NA""]",07,098
110048,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110048,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110049,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110049,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110051,DELHI,EAST,"[""NA""]",07,093
110051,DELHI,SHAHDARA,"[""NA""]",07,676
110052,DELHI,NORTH WEST,"[""DELHI""]",07,090
110052,DELHI,NORTH,"[""DELHI""]",07,091
110053,DELHI,NORTH EAST,"[""NA"",""EAST DELHI""]",07,092
110054,DELHI,CENTRAL,"[""NORTH"",""DELHI""]",07,095
110055,DELHI,CENTRAL,"[""NEW DELHI""]",07,095
110055,DELHI,WEST,"[""NEW DELHI""]",07,096
110056,DELHI,NORTH WEST,"[""DELHI""]",07,090
110057,DELHI,NEW DELHI,"[""NA""]",07,094
110058,DELHI,WEST,"[""NEW DELHI""]",07,096
110059,DELHI,WEST,"[""NEW DELHI""]",07,096
110060,DELHI,CENTRAL,"[""NEW DELHI""]",07,095
110061,DELHI,SOUTH WEST,"[""NA""]",07,097
110061,DELHI,NEW DELHI,"[""NA""]",07,094
110062,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110063,DELHI,WEST,"[""NEW DELHI""]",07,096
110064,DELHI,WEST,"[""NEW DELHI""]",07,096
110065,DELHI,SOUTH EAST,"[""NEW DELHI""]",07,677
110065,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110066,DELHI,NEW DELHI,"[""NA""]",07,094
110067,DELHI,NEW DELHI,"[""NA""]",07,094
110068,DELHI,SOUTH,"[""NA""]",07,098
110069,DELHI,NEW DELHI,"[""NEW DELHI""]",07,094
110070,DELHI,NEW DELHI,"[""NA""]",07,094
110071,DELHI,SOUTH WEST,"[""NEW DELHI"",""SOUTH WEST DELHI""]",07,097
110072,DELHI,SOUTH WEST,"[""NA""]",07,097
110073,DELHI,SOUTH WEST,"[""NA"",""NEW DELHI""]",07,097
110074,DELHI,SOUTH,"[""NA"",""SOUTH WEST DELHI""]",07,098
110075,DELHI,SOUTH WEST,"[""NEW DELHI"",""DELHI""]",07,097
110076,DELHI,SOUTH,"[""NEW DELHI""]",07,098
110077,DELHI,SOUTH WEST,"[""NEW DELHI"",""NA""]",07,097
110077,DELHI,NEW DELHI,"[""NEW DELHI"",""NA""]",07,094
110078,DELHI,SOUTH WEST,"[""NA"",""NEW DELHI""]",07,097
110080,DELHI,SOUTH,"[""SOUTH DELHI""]",07,098
110081,DELHI,NORTH WEST,"[""DELHI""]",07,090
110082,DELHI,NORTH,"[""DELHI""]",07,091
